cell,species,Landuse
8387819,Lycopus europaeus,OpenDryPoor
8387820,Lycopus europaeus,OpenDryPoor
8390501,Lycopus europaeus,OpenDryPoor
8390502,Lycopus europaeus,OpenDryPoor
8390503,Lycopus europaeus,OpenDryPoor
8390504,Lycopus europaeus,OpenDryPoor
8390505,Lycopus europaeus,OpenDryPoor
8390506,Lycopus europaeus,OpenDryPoor
8390507,Lycopus europaeus,OpenDryPoor
8390508,Lycopus europaeus,OpenDryPoor
8390509,Lycopus europaeus,OpenDryPoor
8390510,Lycopus europaeus,OpenDryPoor
8390511,Lycopus europaeus,OpenDryPoor
8390512,Lycopus europaeus,OpenDryPoor
8390513,Lycopus europaeus,OpenDryPoor
8390514,Lycopus europaeus,OpenDryPoor
8390515,Lycopus europaeus,OpenDryPoor
8390516,Lycopus europaeus,OpenDryPoor
8390517,Lycopus europaeus,OpenDryPoor
8390518,Lycopus europaeus,OpenDryPoor
8390519,Lycopus europaeus,OpenDryPoor
8390520,Lycopus europaeus,OpenDryPoor
8393201,Lycopus europaeus,OpenDryPoor
8393202,Lycopus europaeus,OpenDryPoor
8393203,Lycopus europaeus,OpenDryPoor
8393204,Lycopus europaeus,OpenDryPoor
8393205,Lycopus europaeus,OpenDryPoor
8393206,Lycopus europaeus,OpenDryPoor
8393207,Lycopus europaeus,OpenDryPoor
8393208,Lycopus europaeus,OpenDryPoor
8393209,Lycopus europaeus,OpenDryPoor
8393210,Lycopus europaeus,OpenDryPoor
8393211,Lycopus europaeus,OpenDryPoor
8393212,Lycopus europaeus,OpenDryPoor
8393213,Lycopus europaeus,OpenDryPoor
8393214,Lycopus europaeus,OpenDryPoor
8393215,Lycopus europaeus,OpenDryPoor
8393216,Lycopus europaeus,OpenDryPoor
8393217,Lycopus europaeus,OpenDryPoor
8393218,Lycopus europaeus,OpenDryPoor
8393219,Lycopus europaeus,OpenDryPoor
8393220,Lycopus europaeus,OpenDryPoor
8395901,Lycopus europaeus,OpenDryPoor
8395902,Lycopus europaeus,OpenDryPoor
8395903,Lycopus europaeus,OpenDryPoor
8395904,Lycopus europaeus,OpenDryPoor
8395905,Lycopus europaeus,OpenDryPoor
8395906,Lycopus europaeus,OpenDryPoor
8395907,Lycopus europaeus,OpenDryPoor
8395908,Lycopus europaeus,OpenDryPoor
8395909,Lycopus europaeus,OpenDryPoor
8395910,Lycopus europaeus,OpenDryPoor
8395911,Lycopus europaeus,OpenDryPoor
8395912,Lycopus europaeus,OpenDryPoor
8395913,Lycopus europaeus,OpenDryPoor
8395914,Lycopus europaeus,OpenDryPoor
8395915,Lycopus europaeus,OpenDryPoor
8395916,Lycopus europaeus,OpenDryPoor
8395917,Lycopus europaeus,OpenDryPoor
8395918,Lycopus europaeus,OpenDryPoor
8395919,Lycopus europaeus,OpenDryPoor
8395920,Lycopus europaeus,OpenDryPoor
8398601,Lycopus europaeus,OpenDryPoor
8398602,Lycopus europaeus,OpenDryPoor
8398603,Lycopus europaeus,OpenDryPoor
8398604,Lycopus europaeus,OpenDryPoor
8398605,Lycopus europaeus,OpenDryPoor
8398606,Lycopus europaeus,OpenDryPoor
8398607,Lycopus europaeus,OpenDryPoor
8398608,Lycopus europaeus,OpenDryPoor
8398609,Lycopus europaeus,OpenDryPoor
