cell,species,Landuse
8336600,Veronica persica,ForestWetPoor
8339281,Veronica persica,ForestWetPoor
8339282,Veronica persica,ForestWetPoor
8339283,Veronica persica,ForestWetPoor
8339284,Veronica persica,ForestWetPoor
8339285,Veronica persica,ForestWetPoor
8339286,Veronica persica,ForestWetPoor
8339287,Veronica persica,ForestWetPoor
8339288,Veronica persica,ForestWetPoor
8339289,Veronica persica,ForestWetPoor
8339290,Veronica persica,ForestWetPoor
8339291,Veronica persica,ForestWetPoor
8339292,Veronica persica,ForestWetPoor
8339293,Veronica persica,ForestWetPoor
8339294,Veronica persica,ForestWetPoor
8339295,Veronica persica,ForestWetPoor
8339296,Veronica persica,ForestWetPoor
8339297,Veronica persica,ForestWetPoor
8339298,Veronica persica,ForestWetPoor
8339299,Veronica persica,ForestWetPoor
8339300,Veronica persica,ForestWetPoor
8341981,Veronica persica,ForestWetPoor
8341982,Veronica persica,ForestWetPoor
8341983,Veronica persica,ForestWetPoor
8341984,Veronica persica,ForestWetPoor
8341985,Veronica persica,ForestWetPoor
8341986,Veronica persica,ForestWetPoor
8341987,Veronica persica,ForestWetPoor
8341988,Veronica persica,ForestWetPoor
8341989,Veronica persica,ForestWetPoor
8341990,Veronica persica,ForestWetPoor
8341991,Veronica persica,ForestWetPoor
8341992,Veronica persica,ForestWetPoor
8341993,Veronica persica,ForestWetPoor
8341994,Veronica persica,ForestWetPoor
8341995,Veronica persica,ForestWetPoor
8341996,Veronica persica,ForestWetPoor
8341997,Veronica persica,ForestWetPoor
8341998,Veronica persica,ForestWetPoor
8341999,Veronica persica,ForestWetPoor
8342000,Veronica persica,ForestWetPoor
8344681,Veronica persica,ForestWetPoor
8344682,Veronica persica,ForestWetPoor
8344683,Veronica persica,ForestWetPoor
8344684,Veronica persica,ForestWetPoor
8344685,Veronica persica,ForestWetPoor
8344686,Veronica persica,ForestWetPoor
8344687,Veronica persica,ForestWetPoor
8344688,Veronica persica,ForestWetPoor
8344689,Veronica persica,ForestWetPoor
8344690,Veronica persica,ForestWetPoor
8344691,Veronica persica,ForestWetPoor
8344692,Veronica persica,ForestWetPoor
8344693,Veronica persica,ForestWetPoor
8344694,Veronica persica,ForestWetPoor
8344695,Veronica persica,ForestWetPoor
8344696,Veronica persica,ForestWetPoor
8344697,Veronica persica,ForestWetPoor
8344698,Veronica persica,ForestWetPoor
8344699,Veronica persica,ForestWetPoor
8344700,Veronica persica,ForestWetPoor
8347381,Veronica persica,ForestWetPoor
8347382,Veronica persica,ForestWetPoor
