cell,species,Landuse
7437262,Equisetum palustre,OpenWetRich
7437263,Equisetum palustre,OpenWetRich
7437264,Equisetum palustre,OpenWetRich
7437265,Equisetum palustre,OpenWetRich
7437266,Equisetum palustre,OpenWetRich
7437267,Equisetum palustre,OpenWetRich
7437268,Equisetum palustre,OpenWetRich
7437269,Equisetum palustre,OpenWetRich
7437270,Equisetum palustre,OpenWetRich
7437271,Equisetum palustre,OpenWetRich
7437272,Equisetum palustre,OpenWetRich
7437273,Equisetum palustre,OpenWetRich
7437274,Equisetum palustre,OpenWetRich
7437275,Equisetum palustre,OpenWetRich
7437276,Equisetum palustre,OpenWetRich
7437277,Equisetum palustre,OpenWetRich
7437278,Equisetum palustre,OpenWetRich
7437279,Equisetum palustre,OpenWetRich
7437280,Equisetum palustre,OpenWetRich
7437281,Equisetum palustre,OpenWetRich
7437282,Equisetum palustre,OpenWetRich
7437283,Equisetum palustre,OpenWetRich
7437284,Equisetum palustre,OpenWetRich
7439961,Equisetum palustre,OpenWetRich
7439962,Equisetum palustre,OpenWetRich
7439963,Equisetum palustre,OpenWetRich
7439964,Equisetum palustre,OpenWetRich
7439965,Equisetum palustre,OpenWetRich
7439966,Equisetum palustre,OpenWetRich
7439967,Equisetum palustre,OpenWetRich
7439968,Equisetum palustre,OpenWetRich
7439969,Equisetum palustre,OpenWetRich
7439970,Equisetum palustre,OpenWetRich
7439971,Equisetum palustre,OpenWetRich
7439972,Equisetum palustre,OpenWetRich
7439973,Equisetum palustre,OpenWetRich
7439974,Equisetum palustre,OpenWetRich
7439975,Equisetum palustre,OpenWetRich
7439976,Equisetum palustre,OpenWetRich
7439977,Equisetum palustre,OpenWetRich
7439978,Equisetum palustre,OpenWetRich
7439979,Equisetum palustre,OpenWetRich
7439980,Equisetum palustre,OpenWetRich
7439981,Equisetum palustre,OpenWetRich
7439982,Equisetum palustre,OpenWetRich
7439983,Equisetum palustre,OpenWetRich
7439984,Equisetum palustre,OpenWetRich
7439985,Equisetum palustre,OpenWetRich
7442661,Equisetum palustre,OpenWetRich
7442662,Equisetum palustre,OpenWetRich
7442663,Equisetum palustre,OpenWetRich
7442664,Equisetum palustre,OpenWetRich
7442665,Equisetum palustre,OpenWetRich
