cell,species,Landuse
7467062,Luzula campestris,ForestDryRich
7467063,Luzula campestris,ForestDryRich
7467064,Luzula campestris,ForestDryRich
7467065,Luzula campestris,ForestDryRich
7467066,Luzula campestris,ForestDryRich
7467067,Luzula campestris,ForestDryRich
7467068,Luzula campestris,ForestDryRich
7467069,Luzula campestris,ForestDryRich
7467070,Luzula campestris,ForestDryRich
7467071,Luzula campestris,ForestDryRich
7467072,Luzula campestris,ForestDryRich
7467073,Luzula campestris,ForestDryRich
7467074,Luzula campestris,ForestDryRich
7467075,Luzula campestris,ForestDryRich
7467076,Luzula campestris,ForestDryRich
7467077,Luzula campestris,ForestDryRich
7467078,Luzula campestris,ForestDryRich
7467079,Luzula campestris,ForestDryRich
7467080,Luzula campestris,ForestDryRich
7469761,Luzula campestris,ForestDryRich
7469762,Luzula campestris,ForestDryRich
7469763,Luzula campestris,ForestDryRich
7469764,Luzula campestris,ForestDryRich
7469765,Luzula campestris,ForestDryRich
7469766,Luzula campestris,ForestDryRich
7469767,Luzula campestris,ForestDryRich
7469768,Luzula campestris,ForestDryRich
7469769,Luzula campestris,ForestDryRich
7469770,Luzula campestris,ForestDryRich
7469771,Luzula campestris,ForestDryRich
7469772,Luzula campestris,ForestDryRich
7469773,Luzula campestris,ForestDryRich
7469774,Luzula campestris,ForestDryRich
7469775,Luzula campestris,ForestDryRich
7469776,Luzula campestris,ForestDryRich
7469777,Luzula campestris,ForestDryRich
7469778,Luzula campestris,ForestDryRich
7469779,Luzula campestris,ForestDryRich
7469780,Luzula campestris,ForestDryRich
7472461,Luzula campestris,ForestDryRich
7472462,Luzula campestris,ForestDryRich
7472463,Luzula campestris,ForestDryRich
7472464,Luzula campestris,ForestDryRich
7472465,Luzula campestris,ForestDryRich
7472466,Luzula campestris,ForestDryRich
7472467,Luzula campestris,ForestDryRich
7472468,Luzula campestris,ForestDryRich
7472469,Luzula campestris,ForestDryRich
7472470,Luzula campestris,ForestDryRich
7472471,Luzula campestris,ForestDryRich
7472472,Luzula campestris,ForestDryRich
7472473,Luzula campestris,ForestDryRich
7472474,Luzula campestris,ForestDryRich
7472475,Luzula campestris,ForestDryRich
7472476,Luzula campestris,ForestDryRich
7472477,Luzula campestris,ForestDryRich
7472478,Luzula campestris,ForestDryRich
7472479,Luzula campestris,ForestDryRich
7472480,Luzula campestris,ForestDryRich
7475119,Luzula campestris,ForestDryRich
7475120,Luzula campestris,ForestDryRich
7475161,Luzula campestris,ForestDryRich
7475162,Luzula campestris,ForestDryRich
7475163,Luzula campestris,ForestDryRich
7475164,Luzula campestris,ForestDryRich
7475165,Luzula campestris,ForestDryRich
7475166,Luzula campestris,ForestDryRich
7475167,Luzula campestris,ForestDryRich
7475168,Luzula campestris,ForestDryRich
7475169,Luzula campestris,ForestDryRich
7475170,Luzula campestris,ForestDryRich
7475171,Luzula campestris,ForestDryRich
7475172,Luzula campestris,ForestDryRich
7475173,Luzula campestris,ForestDryRich
7475174,Luzula campestris,ForestDryRich
7475175,Luzula campestris,ForestDryRich
7475176,Luzula campestris,ForestDryRich
7475177,Luzula campestris,ForestDryRich
7475178,Luzula campestris,ForestDryRich
7475179,Luzula campestris,ForestDryRich
7475180,Luzula campestris,ForestDryRich
7477819,Luzula campestris,ForestDryRich
7477820,Luzula campestris,ForestDryRich
7477861,Luzula campestris,ForestDryRich
7477862,Luzula campestris,ForestDryRich
7477863,Luzula campestris,ForestDryRich
7477864,Luzula campestris,ForestDryRich
7477865,Luzula campestris,ForestDryRich
7477866,Luzula campestris,ForestDryRich
7477867,Luzula campestris,ForestDryRich
7477868,Luzula campestris,ForestDryRich
7477869,Luzula campestris,ForestDryRich
7477870,Luzula campestris,ForestDryRich
7477871,Luzula campestris,ForestDryRich
7477872,Luzula campestris,ForestDryRich
7477873,Luzula campestris,ForestDryRich
7477874,Luzula campestris,ForestDryRich
7477875,Luzula campestris,ForestDryRich
7477876,Luzula campestris,ForestDryRich
7477877,Luzula campestris,ForestDryRich
7477878,Luzula campestris,ForestDryRich
7477879,Luzula campestris,ForestDryRich
7477880,Luzula campestris,ForestDryRich
7480518,Luzula campestris,ForestDryRich
7480519,Luzula campestris,ForestDryRich
7480520,Luzula campestris,ForestDryRich
7480561,Luzula campestris,ForestDryRich
7480562,Luzula campestris,ForestDryRich
7480563,Luzula campestris,ForestDryRich
7480564,Luzula campestris,ForestDryRich
7480565,Luzula campestris,ForestDryRich
7480566,Luzula campestris,ForestDryRich
7480567,Luzula campestris,ForestDryRich
7480568,Luzula campestris,ForestDryRich
7480569,Luzula campestris,ForestDryRich
7480570,Luzula campestris,ForestDryRich
7480571,Luzula campestris,ForestDryRich
7480572,Luzula campestris,ForestDryRich
7480573,Luzula campestris,ForestDryRich
7480574,Luzula campestris,ForestDryRich
7480575,Luzula campestris,ForestDryRich
7480576,Luzula campestris,ForestDryRich
7480577,Luzula campestris,ForestDryRich
7480578,Luzula campestris,ForestDryRich
7480579,Luzula campestris,ForestDryRich
7480580,Luzula campestris,ForestDryRich
7483217,Luzula campestris,ForestDryRich
7483218,Luzula campestris,ForestDryRich
7483219,Luzula campestris,ForestDryRich
7483220,Luzula campestris,ForestDryRich
7483261,Luzula campestris,ForestDryRich
7483262,Luzula campestris,ForestDryRich
7483263,Luzula campestris,ForestDryRich
7483264,Luzula campestris,ForestDryRich
7483265,Luzula campestris,ForestDryRich
7483266,Luzula campestris,ForestDryRich
7483267,Luzula campestris,ForestDryRich
7483268,Luzula campestris,ForestDryRich
7483269,Luzula campestris,ForestDryRich
7483270,Luzula campestris,ForestDryRich
7483271,Luzula campestris,ForestDryRich
7483272,Luzula campestris,ForestDryRich
7483273,Luzula campestris,ForestDryRich
7483274,Luzula campestris,ForestDryRich
7483275,Luzula campestris,ForestDryRich
7483276,Luzula campestris,ForestDryRich
7483277,Luzula campestris,ForestDryRich
7483278,Luzula campestris,ForestDryRich
7483279,Luzula campestris,ForestDryRich
7483280,Luzula campestris,ForestDryRich
7485916,Luzula campestris,ForestDryRich
7485917,Luzula campestris,ForestDryRich
7485918,Luzula campestris,ForestDryRich
7485919,Luzula campestris,ForestDryRich
7485920,Luzula campestris,ForestDryRich
7485961,Luzula campestris,ForestDryRich
7485962,Luzula campestris,ForestDryRich
7485963,Luzula campestris,ForestDryRich
7485964,Luzula campestris,ForestDryRich
7485965,Luzula campestris,ForestDryRich
7485966,Luzula campestris,ForestDryRich
7485967,Luzula campestris,ForestDryRich
7485968,Luzula campestris,ForestDryRich
7485969,Luzula campestris,ForestDryRich
7485970,Luzula campestris,ForestDryRich
7485971,Luzula campestris,ForestDryRich
7485972,Luzula campestris,ForestDryRich
7485973,Luzula campestris,ForestDryRich
7485974,Luzula campestris,ForestDryRich
7485975,Luzula campestris,ForestDryRich
7485976,Luzula campestris,ForestDryRich
7485977,Luzula campestris,ForestDryRich
7485978,Luzula campestris,ForestDryRich
7485979,Luzula campestris,ForestDryRich
7485980,Luzula campestris,ForestDryRich
7488615,Luzula campestris,ForestDryRich
7488616,Luzula campestris,ForestDryRich
7488617,Luzula campestris,ForestDryRich
7488618,Luzula campestris,ForestDryRich
7488619,Luzula campestris,ForestDryRich
7488620,Luzula campestris,ForestDryRich
7488661,Luzula campestris,ForestDryRich
7488662,Luzula campestris,ForestDryRich
7488663,Luzula campestris,ForestDryRich
7488664,Luzula campestris,ForestDryRich
7488665,Luzula campestris,ForestDryRich
7488666,Luzula campestris,ForestDryRich
7488667,Luzula campestris,ForestDryRich
7488668,Luzula campestris,ForestDryRich
7488669,Luzula campestris,ForestDryRich
7488670,Luzula campestris,ForestDryRich
7488671,Luzula campestris,ForestDryRich
7488672,Luzula campestris,ForestDryRich
7488673,Luzula campestris,ForestDryRich
7488674,Luzula campestris,ForestDryRich
7488675,Luzula campestris,ForestDryRich
7488676,Luzula campestris,ForestDryRich
7488677,Luzula campestris,ForestDryRich
7488678,Luzula campestris,ForestDryRich
7488679,Luzula campestris,ForestDryRich
7488680,Luzula campestris,ForestDryRich
7491314,Luzula campestris,ForestDryRich
7491315,Luzula campestris,ForestDryRich
7491316,Luzula campestris,ForestDryRich
7491317,Luzula campestris,ForestDryRich
