"";"scientificName";"decimalLatitude";"decimalLongitude";"family";"genus";"species"
"1";"Juncus effusus L.";56,063928;10,206388;"Juncaceae";"Juncus";"Juncus effusus"
"2";"Juncus effusus L.";56,064858;10,206544;"Juncaceae";"Juncus";"Juncus effusus"
"3";"Juncus effusus L.";56,065944;10,208754;"Juncaceae";"Juncus";"Juncus effusus"
"4";"Juncus effusus L.";56,059136;10,217469;"Juncaceae";"Juncus";"Juncus effusus"
"5";"Juncus effusus L.";56,052734;10,212807;"Juncaceae";"Juncus";"Juncus effusus"
"6";"Juncus effusus L.";56,048506;10,204344;"Juncaceae";"Juncus";"Juncus effusus"
"7";"Juncus effusus L.";56,075427;10,154979;"Juncaceae";"Juncus";"Juncus effusus"
"8";"Juncus effusus L.";56,073951;10,154553;"Juncaceae";"Juncus";"Juncus effusus"
"9";"Juncus effusus L.";56,075516;10,161875;"Juncaceae";"Juncus";"Juncus effusus"
"10";"Juncus effusus L.";56,072462;10,163061;"Juncaceae";"Juncus";"Juncus effusus"
"11";"Juncus effusus L.";56,079254;10,2165;"Juncaceae";"Juncus";"Juncus effusus"
"12";"Juncus effusus L.";56,059367;10,188819;"Juncaceae";"Juncus";"Juncus effusus"
"13";"Juncus effusus L.";56,068082;10,185981;"Juncaceae";"Juncus";"Juncus effusus"
"14";"Juncus effusus L.";56,054841;10,166739;"Juncaceae";"Juncus";"Juncus effusus"
"15";"Juncus effusus L.";56,055348;10,182331;"Juncaceae";"Juncus";"Juncus effusus"
"16";"Juncus effusus L.";56,063603;10,170409;"Juncaceae";"Juncus";"Juncus effusus"
"17";"Juncus effusus L.";56,071394;10,205811;"Juncaceae";"Juncus";"Juncus effusus"
"18";"Juncus effusus L.";56,07257;10,209591;"Juncaceae";"Juncus";"Juncus effusus"
"19";"Juncus effusus L.";56,069953;10,207051;"Juncaceae";"Juncus";"Juncus effusus"
"20";"Juncus effusus L.";56,071982;10,216861;"Juncaceae";"Juncus";"Juncus effusus"
"21";"Juncus effusus L.";56,066772;10,197938;"Juncaceae";"Juncus";"Juncus effusus"
"22";"Juncus effusus L.";56,06983;10,20676;"Juncaceae";"Juncus";"Juncus effusus"
"23";"Juncus effusus L.";56,082059;10,179898;"Juncaceae";"Juncus";"Juncus effusus"
"24";"Juncus effusus L.";56,051261;10,170352;"Juncaceae";"Juncus";"Juncus effusus"
"25";"Juncus effusus L.";56,079386;10,199309;"Juncaceae";"Juncus";"Juncus effusus"
"26";"Juncus effusus L.";56,079052;10,180454;"Juncaceae";"Juncus";"Juncus effusus"
"27";"Juncus effusus L.";56,078644;10,184587;"Juncaceae";"Juncus";"Juncus effusus"
"28";"Juncus effusus L.";56,08411;10,190105;"Juncaceae";"Juncus";"Juncus effusus"
"29";"Juncus effusus L.";56,082964;10,189268;"Juncaceae";"Juncus";"Juncus effusus"
"30";"Juncus effusus L.";56,084259;10,196308;"Juncaceae";"Juncus";"Juncus effusus"
"31";"Juncus effusus L.";56,07967;10,196557;"Juncaceae";"Juncus";"Juncus effusus"
"32";"Juncus effusus L.";56,08085;10,190616;"Juncaceae";"Juncus";"Juncus effusus"
"33";"Juncus effusus L.";56,050957;10,154467;"Juncaceae";"Juncus";"Juncus effusus"
"34";"Juncus effusus L.";56,050254;10,158509;"Juncaceae";"Juncus";"Juncus effusus"
"35";"Juncus effusus L.";56,06798;10,185607;"Juncaceae";"Juncus";"Juncus effusus"
"36";"Juncus effusus L.";56,082362;10,196913;"Juncaceae";"Juncus";"Juncus effusus"
"37";"Juncus effusus L.";56,052258;10,211909;"Juncaceae";"Juncus";"Juncus effusus"
"38";"Juncus effusus L.";56,055384;10,182316;"Juncaceae";"Juncus";"Juncus effusus"
"39";"Juncus effusus L.";56,082295;10,21676;"Juncaceae";"Juncus";"Juncus effusus"
"40";"Juncus effusus L.";56,063556;10,170616;"Juncaceae";"Juncus";"Juncus effusus"
"41";"Juncus effusus L.";56,06372;10,168233;"Juncaceae";"Juncus";"Juncus effusus"
"42";"Juncus effusus L.";56,059367;10,188819;"Juncaceae";"Juncus";"Juncus effusus"
"43";"Juncus effusus L.";56,071438;10,205925;"Juncaceae";"Juncus";"Juncus effusus"
"44";"Juncus effusus L.";56,072652;10,208549;"Juncaceae";"Juncus";"Juncus effusus"
"45";"Juncus effusus L.";56,069958;10,207437;"Juncaceae";"Juncus";"Juncus effusus"
"46";"Juncus effusus L.";56,073931;10,217441;"Juncaceae";"Juncus";"Juncus effusus"
"47";"Juncus effusus L.";56,071085;10,211121;"Juncaceae";"Juncus";"Juncus effusus"
"48";"Juncus effusus L.";56,071224;10,21679;"Juncaceae";"Juncus";"Juncus effusus"
"49";"Juncus effusus L.";56,059971;10,186162;"Juncaceae";"Juncus";"Juncus effusus"
"50";"Juncus effusus L.";56,073633;10,160258;"Juncaceae";"Juncus";"Juncus effusus"
"51";"Juncus effusus L.";56,050645;10,155229;"Juncaceae";"Juncus";"Juncus effusus"
"52";"Juncus effusus L.";56,050504;10,156846;"Juncaceae";"Juncus";"Juncus effusus"
"53";"Juncus effusus L.";56,08088;10,190956;"Juncaceae";"Juncus";"Juncus effusus"
"54";"Juncus effusus L.";56,07151;10,205879;"Juncaceae";"Juncus";"Juncus effusus"
"55";"Juncus effusus L.";56,078759;10,179806;"Juncaceae";"Juncus";"Juncus effusus"
"56";"Juncus effusus L.";56,083129;10,189202;"Juncaceae";"Juncus";"Juncus effusus"
"57";"Juncus effusus L.";56,078791;10,196353;"Juncaceae";"Juncus";"Juncus effusus"
"58";"Juncus effusus L.";56,077924;10,186484;"Juncaceae";"Juncus";"Juncus effusus"
"59";"Juncus effusus L.";56,079386;10,199309;"Juncaceae";"Juncus";"Juncus effusus"
"60";"Juncus effusus L.";56,079522;10,20257;"Juncaceae";"Juncus";"Juncus effusus"
"61";"Juncus effusus L.";56,079915;10,211674;"Juncaceae";"Juncus";"Juncus effusus"
"62";"Juncus effusus L.";56,051408;10,208754;"Juncaceae";"Juncus";"Juncus effusus"
"63";"Juncus effusus L.";56,051978;10,207087;"Juncaceae";"Juncus";"Juncus effusus"
"64";"Juncus effusus L.";56,052558;10,206216;"Juncaceae";"Juncus";"Juncus effusus"
"65";"Juncus effusus L.";56,052574;10,208583;"Juncaceae";"Juncus";"Juncus effusus"
"66";"Filipendula ulmaria (L.) Maxim.";56,079316;10,199537;"Rosaceae";"Filipendula";"Filipendula ulmaria"
"67";"Filipendula ulmaria (L.) Maxim.";56,068682;10,189922;"Rosaceae";"Filipendula";"Filipendula ulmaria"
